theme_code,theme_label,band,REAL_content,REAL_band_confidence,RSHE_content,RSHE_band_confidence,CfW_content,CfW_band_confidence,CASEL_content,CASEL_band_confidence,CS_content,CS_band_confidence,gap_count,notes
T02,Empathy & Perspective-Taking,E,"I can facilitate repair in a group setting, naming the group dynamics that contributed to conflict and proposing steps that address the needs of multiple parties. (LT 1.2) [draft]",high,"Understanding how social inequalities and stereotypes can affect relationships (EoS)",medium,"I can empathise with others which helps me to be compassionate and kind towards myself and others. (PS5)",medium,"I can develop collaboration strategies, provide constructive feedback, and communicate effectively under pressure (G9-10)",high,"†Empathetic Perspective-Taking (Y9)",medium,0,
T02,Empathy & Perspective-Taking,F,"I can recognise when structural or systemic factors are shaping someone's experience and adjust my empathic response accordingly, including advocating for a systemic change when individual repair is insufficient. (LT 1.2) [draft]",high,—,—,—,—,"†Empathetic Relating and Respectful Interaction (G11-12)",high,"†Identifying Dehumanization and Its Effects (Y12)",medium,2,RSHE and CfW have no empathy content extending to systemic critique at Band F
T03,Conflict Resolution & Relationship Repair,A,—,—,"know how to keep themselves and others safe (EoP)",medium,—,—,"I can express my feelings and needs clearly and use problem-solving strategies when conflicts arise (PK/K-1)",high,"†Contributing to Inclusive Communities (Y2)",medium,2,REAL and CfW do not address conflict resolution explicitly at Band A
T03,Conflict Resolution & Relationship Repair,B,—,—,"Setting and respecting healthy boundaries in relationships (EoP)",medium,—,—,"I can recognize available choices in situations and describe their potential consequences (G2-3)",high,"†Sharing and Cooperation (Y2)",medium,2,
T03,Conflict Resolution & Relationship Repair,C,"I can listen in a disagreement without interrupting, choose words that stay respectful, and use a simple repair routine. (LT 5.1)",high,"skills for communicating respectfully within relationships and with strangers, including in situations of conflict (EoS)",medium,—,—,"I can communicate positively and resolve conflicts using appropriate strategies (G4-5)",high,"†Advocating for Others (Y6)",medium,1,
T03,Conflict Resolution & Relationship Repair,D,"I can repair a relationship after conflict by listening, owning my part, and agreeing on a next step that works for both people. (LT 1.2)",high,"the management of conflict, reconciliation and ending relationships in romantic relationships (EoS)",medium,"I can resolve conflicts and find solutions through discussion and appropriate compromise (PS4)",medium,"I can communicate respectfully, give and receive feedback constructively, and apply conflict resolution strategies (G6-8)",high,"†Positive Response to Repair (Y9)",medium,0,
T03,Conflict Resolution & Relationship Repair,E,"I can facilitate a structured conversation in a group setting where people disagree — managing the process rather than the positions, ensuring all voices are heard, and maintaining a constructive tone throughout. (LT 5.1) [draft]",high,—,—,"I can resolve conflict through discussion, consensus and effective communication (PS5)",medium,"I can demonstrate personal responsibility in resolving conflicts and identify appropriate support resources (G9-10)",high,"†Analyzing Multiple Conflict Perspectives (Y12)",medium,1,
T03,Conflict Resolution & Relationship Repair,F,"I can communicate effectively across significant difference — cultural, generational, or positional — adjusting my register, tone, and frame without losing my own perspective, and navigating the power dynamics that shape who gets heard. (LT 5.1) [draft]",high,—,—,—,—,"†Conflict Resolution and Feedback (G11-12)",high,"†Negotiating Practical Compromises (Y12)",medium,2,
T04,Focused Attention & Mindfulness,A,"I can use my senses to attend to one task for a short time and describe how I brought my attention back when it wandered. (LT 2.1)",high,—,—,—,—,"Attempt to complete tasks independently (PK/K-1)",high,—,—,3,Significant gap — only REAL and CASEL address this at Band A
T04,Focused Attention & Mindfulness,B,"I can use a practised attention strategy during a task and describe what made it easier or harder to focus. (LT 2.1)",high,—,—,—,—,"†Persistent Problem-Solving Orientation (G2-3)",high,—,—,3,
T04,Focused Attention & Mindfulness,C,"I can evaluate how an attention strategy affected my focus during a specific task and explain why it did or didn't help. (LT 2.1)",high,—,—,"I can recognise the benefits of being able to focus attention on my perceptions and thoughts and know that I am developing my self-awareness (PS3)",medium,—,—,—,—,3,
T04,Focused Attention & Mindfulness,D,"I can sustain attention during a challenging task, identify what is pulling it away, and use a deliberate strategy to return. (LT 2.1)",high,—,—,"I can independently focus attention on my perceptions, thoughts and feelings in order to further develop my self-awareness (PS4)",medium,"I can apply coping strategies to regulate my emotions and manage stressful situations (G6-8)",high,"†Sustained Gratitude Practice (Y9)",medium,1,
T04,Focused Attention & Mindfulness,E,"I can design the conditions for sustained attention in my own work — including managing digital distractions — and evaluate how different attentional strategies interact with different types of tasks. (LT 2.1) [draft]",high,—,—,—,—,"†Sustained Self-Regulation and Perseverance (G9-10)",high,—,—,3,
T04,Focused Attention & Mindfulness,F,"I can audit my attentional patterns across high-stakes work over a sustained period, identify the conditions and strategies that most reliably support my best work, and make deliberate adjustments to my workflow to protect them. (LT 2.1) [draft]",high,—,—,—,—,—,—,—,—,4,REAL unique at Band F — no external framework addresses systematic attention management at this level
T05,Reflective & Values-Based Decision-Making,A,"I can retell a short experience and state one thing I learned from it. (LT 2.2)",high,—,—,"I have developed an awareness that my decisions can affect me and others (PS1)",medium,"I can use problem-solving strategies and consider ideas from others to find solutions (PK)",high,—,—,2,
T05,Reflective & Values-Based Decision-Making,B,"I can stop and state at least one helpful and one harmful possible outcome before making a choice. (LT 2.2)",high,—,—,"I can recognise that my decisions can impact on me and others, both now and in the future (PS2)",medium,"I can recognize available choices in situations and describe their potential consequences (G2-3)",high,"†Setting Personal Goals (Y2)",medium,1,
T05,Reflective & Values-Based Decision-Making,C,"I can compare multiple options, state my choice, and give a reason based on my values. (LT 2.2)",high,—,—,"I can make considered decisions, taking into account available information, including past experiences (PS3)",medium,"I can analyze decision-making situations by identifying what is within my control and what factors are most important (G4-5)",high,"†Risk Assessment and Analysis (Y6)",medium,1,
T05,Reflective & Values-Based Decision-Making,D,"I can explain the trade-offs in a decision and justify my choice by considering how it affects different people. (LT 2.2)",high,—,—,"I can research, examine and evaluate a range of evidence to make considered and informed decisions. (PS4)",medium,"I can apply a structured decision-making model to gather evidence and evaluate possible outcomes (G6-8)",high,"I can evaluate potential risks against expected outcomes when making decisions. (Y9)",medium,1,
T05,Reflective & Values-Based Decision-Making,E,"I can identify the biases and assumptions likely to be affecting my reasoning in a decision, adjust my process to reduce their impact, and evaluate a decision framework by the quality of its reasoning, not its outcome. (LT 2.2) [draft]",high,—,—,"I can critically evaluate factors and implications, including risks, when making decisions individually and collectively. (PS5)",medium,"I can apply a structured decision-making process by gathering evidence, identifying biases, and evaluating options systematically (G9-10)",high,"†Critical Decision-Making Process (Y9)",medium,1,
T05,Reflective & Values-Based Decision-Making,F,"I can construct a reasoned position on a complex, contested, and high-stakes decision — weighing multiple types of evidence, acknowledging irreducible uncertainty, and making the logic of my choice explicit while remaining open to revision. (LT 2.2) [draft]",high,—,—,—,—,"†Critical Decision-Making Process (G11-12)",high,"I can analyze a conflict scenario by identifying what each side wants and generating multiple possible resolutions with pros and cons. (Y12)",medium,2,
T06,Physical Health Habits,A,"I can name my body's basic needs and practise simple personal hygiene routines with reminders. (LT 3.1)",high,—,—,"I am beginning to make connections between my diet and my physical health and well-being. (PS1)",medium,—,—,—,—,3,
T06,Physical Health Habits,B,"I can explain how sleep, food, and movement affect how I feel, and set a goal for one healthy habit. (LT 3.1)",high,—,—,"I have developed an understanding that I need a balanced diet (PS2)",medium,—,—,—,—,3,
T06,Physical Health Habits,C,"I can track one habit for a week, identify a barrier, and explain why I want to keep or change it. (LT 3.1)",high,—,—,"I can make informed choices about the food I eat and prepare to support my physical health and well-being (PS3)",medium,—,—,—,—,3,
T06,Physical Health Habits,D,"I can compare two sources of health information, create a balanced weekly habits plan, and adjust it based on logged results. (LT 3.1)",high,"Knowledge of how to improve health and wellbeing, including sleep, nutrition, exercise and screen time (EoS)",medium,"I can evaluate the connection between physical and emotional changes, independently selecting from a range of strategies to improve my physical and emotional health (PS4)",medium,—,—,—,—,2,
T06,Physical Health Habits,E,"I can identify the structural and social factors that affect my access to healthy habits, evaluate health claims using evidence-quality criteria, and redesign my habits plan to account for conditions I cannot control individually. (LT 3.1) [draft]",high,"Understanding risk factors and healthy choices including diet, exercise, rest, oral health, and sun safety (EoS)",medium,"I can evaluate the connection between physical and emotional changes, independently selecting from a range of strategies to improve my physical and emotional health and that of others. (PS5)",medium,—,—,—,—,2,
T06,Physical Health Habits,F,"I can design a health maintenance approach that is sustainable across the demands of adult life — accounting for competing priorities, social pressures, and systems-level constraints — and articulate why sustainable habits require external conditions, not only personal willpower. (LT 3.1) [draft]",high,—,—,—,—,—,—,—,—,4,Unique to REAL at Band F — structural health literacy framing absent in all external frameworks
T07,Self-Care Help-Seeking & Resilience,A,"I can name a trusted adult I can ask for help and practise a simple self-care routine. (LT 3.2)",high,"Where to get advice e.g. family, school and/or other sources (EoP)",medium,"I am beginning to know how to respond and get help in a safe way when behaviours, conditions and situations affect my physical health and well-being (PS1)",medium,"Ask for support from adults when needed (PK)",high,—,—,1,
T07,Self-Care Help-Seeking & Resilience,B,"I can identify my body's early warning signs and choose a helpful self-care response. (LT 3.2)",high,"Skills for recognising and managing mental and physical health (EoP)",medium,"I can ask for help when I need it from people I trust (PS2)",medium,"I can identify emotions and explain how they influence my thoughts (G2-3)",high,—,—,1,
T07,Self-Care Help-Seeking & Resilience,C,"I can make a self-care plan that works at home and school and list trusted people or services for support. (LT 3.2)",high,"Skills for building emotional resilience and understanding mental health needs (EoP)",medium,"I can ask for help when I need it from people I trust (PS3)",medium,"†Community Support and Safety Knowledge (G4-5)",high,"†Relationship-Based Resilience Building (Y6)",medium,0,
T07,Self-Care Help-Seeking & Resilience,D,"I can maintain my key self-care routines during stressful times and describe one way I support a peer to do the same. (LT 3.2) [teacher review flag]",high,"Knowing where and how to access appropriate mental health and wellbeing support (EoS)",medium,"I can use a range of strategies to maintain personal wellbeing when challenged by life experiences (PS4)",medium,"I can apply coping strategies to regulate my emotions and manage stressful situations (G6-8)",high,"†Resilience Strategy Knowledge (Y9)",medium,0,
T07,Self-Care Help-Seeking & Resilience,E,"I can maintain my self-care practices through extended periods of difficulty without requiring external prompts, seek help appropriately when my own strategies are insufficient, and model self-care norms in my peer group without making it performative. (LT 3.2) [draft]",high,"Understanding mental health and wellbeing conditions, including depression, anxiety and eating disorders (EoS)",medium,"I can sustain my health and wellbeing through a range of healthy strategies when facing challenges (PS5)",medium,"†Sustained Self-Regulation and Perseverance (G9-10)",high,"The student practises using physical, social, and cognitive strategies regularly to maintain emotional resilience. (Y12)",medium,0,
T07,Self-Care Help-Seeking & Resilience,F,"I can construct a personal resilience framework — including my non-negotiable self-care commitments, my early-warning signals, and my recovery protocols — and articulate how this framework has developed across my years at school. (LT 3.2) [draft]",high,—,—,—,—,"†Consistent Stress Response Management (G11-12)",high,"I can evaluate the usefulness of mindfulness and meditation as resilience strategies. (Y12)",medium,2,
T08,Bodies Boundaries & Consent,A,"I can name private body parts correctly and say who my trusted adults are that help keep me safe. (LT 4.1)",high,"positive relationships, boundaries, privacy, and children's rights over their own bodies and personal information (EoP)",medium,—,—,"†Identifying Safety Resources (K-1)",high,—,—,2,
T08,Bodies Boundaries & Consent,B,"I can set and respect boundaries, ask for clear consent, and seek help if I feel pressured. (LT 4.1)",high,"Setting and respecting healthy boundaries in relationships with friends, family, peers and adults / how to be assertive and express needs and boundaries (EoP)",medium,"†Recognising and Maintaining Relationship Safety (PS2)",medium,"†Identifying Safety Resources (G2-3)",high,"I can clearly, firmly, and politely communicate my needs and wants in conflict situations. (Y2)",medium,0,
T08,Bodies Boundaries & Consent,C,"I can apply consent skills in non-sexual and online contexts and state my boundaries clearly to peers. (LT 4.1)",high,"That people should be respectful in online interactions, and that the same principles apply to online relationships (EoP)",medium,"†Understanding and Advocating for Rights (PS3)",medium,—,—,"†Distinguishing Harmful and Supportive Behaviors (Y6)",medium,1,
T08,Bodies Boundaries & Consent,D,"I can recognise power or peer-pressure risks, state my refusal and exit plan, and describe how I would support a peer to access help. (LT 4.1) [teacher review flag]",high,"How inequalities of power can impact behaviour within relationships, including sexual relationships. / Ethical behaviour goes beyond consent and involves kindness, care, attention to the needs and vulnerabilities of the other person (EoS)",medium,"†Healthy Relationship Maintenance (PS4)",medium,—,—,"†Analyzing Assertiveness Outcomes (Y9)",medium,1,
T08,Bodies Boundaries & Consent,E,"I can analyse a situation for coercion, grooming, or exploitation risk — including online and institutional contexts — apply legal knowledge of consent thresholds, and support someone else in understanding their rights and options without re-traumatising them. (LT 4.1) [draft]",high,"The concepts of, and laws relating to, sexual consent, sexual exploitation, abuse, grooming, coercion (EoS)",medium,"†Understanding and Advocating for Rights (PS5)",medium,—,—,—,—,2,
T08,Bodies Boundaries & Consent,F,"I can facilitate a discussion about consent, power, and boundaries with peers or younger students in a way that is age-appropriate, non-judgmental, and grounded in rights and evidence — including surfacing common myths and correcting them. (LT 4.1) [draft]",high,—,—,—,—,—,—,"†Resisting Peer Pressure (Y12)",medium,3,
T09,Puberty Sexual Health & Safe Choices,A,—,—,"Young people understand the correct terms for different parts of the body (EoP)",medium,—,—,—,—,—,—,4,REAL LT 4.2 Band A is intentionally N/A (lt_4_2_band_a_na flag in source)
T09,Puberty Sexual Health & Safe Choices,B,"I can explain the basic changes of puberty, use personal hygiene routines, and find reliable health information from trusted sources. (LT 4.2)",high,"Understanding physical and emotional changes at puberty and how to manage them (EoP)",medium,—,—,—,—,—,—,3,Welsh CfW and CASEL and CS have no puberty/sexual health content
T09,Puberty Sexual Health & Safe Choices,C,"I can manage my personal hygiene related to puberty, identify trusted sources of health information, and explain the basics of human reproduction. (LT 4.2)",high,"Understanding physical development during puberty and how to manage changes (EoP)",medium,—,—,—,—,—,—,3,
T09,Puberty Sexual Health & Safe Choices,D,"I can assess risks related to STIs, pregnancy, and substance use, explain protection methods, and identify steps to access confidential health advice. (LT 4.2) [teacher review flag]",high,"Factual knowledge of contraception and protection from STIs, including the correct use of barrier methods (EoS)",medium,—,—,—,—,—,—,3,
T09,Puberty Sexual Health & Safe Choices,E,"I can navigate healthcare systems relevant to my reproductive and sexual health — including understanding how to access confidential services, what rights I have as a young person, and how to evaluate health information in this domain against evidence-based guidelines. (LT 4.2) [draft]",high,"Information on sexual health and services available, including local clinics for young people (EoS)",medium,—,—,—,—,—,—,3,
T09,Puberty Sexual Health & Safe Choices,F,"I can critically evaluate contested claims about sexual health, reproductive choices, and substance use against evidence — identify the ideological, cultural, or commercial interests shaping health discourse — and form and articulate a coherent, evidence-grounded personal position. (LT 4.2) [draft]",high,—,—,—,—,—,—,—,—,4,
T10,Interpersonal & Assertive Communication,A,"I can take turns in conversation, use kind words, and use an I-statement. (LT 5.1)",high,"skills and knowledge that form the building blocks of all positive relationships (EoP)",medium,"†Respectful and Caring Interaction (PS1)",medium,"I can express my feelings and needs clearly and use problem-solving strategies when conflicts arise (PK/K-1)",high,"I can identify and communicate positive qualities about my classmates. (Y2)",medium,0,
T10,Interpersonal & Assertive Communication,B,"I can use I-statements to state my needs, ask about boundaries, and propose two options for a fair solution. (LT 5.1)",high,"skills for communicating in different ways, including learning to listen (EoP)",medium,"†Expressing and Receiving Communication (PS2)",medium,"I can communicate respectfully and collaborate effectively in group settings. (G2-3)",high,"†Sharing and Cooperation (Y2)",medium,0,
T10,Interpersonal & Assertive Communication,C,"I can listen in a disagreement without interrupting, choose words that stay respectful, and use a simple repair routine. (LT 5.1)",high,"skills for communicating respectfully within relationships and with strangers, including in situations of conflict (EoS)",medium,"†Conflict Resolution Strategies (PS3)",medium,"I can communicate positively and resolve conflicts using appropriate strategies (G4-5)",high,"†Balanced Conversational Engagement (Y6)",medium,0,
T10,Interpersonal & Assertive Communication,D,"I can state my boundaries clearly, paraphrase before I respond, and choose words that fit the situation including in conflict. (LT 5.1)",high,"skills for communicating respectfully within relationships, including in conflict (EoS)",medium,"†Conflict Resolution Strategies (PS4)",medium,"I can communicate respectfully, give and receive feedback constructively, and apply conflict resolution strategies (G6-8)",high,"I can demonstrate active listening through verbal and non-verbal attention, appropriate responses, and asking for clarification. (Y9)",medium,0,
T10,Interpersonal & Assertive Communication,E,"I can facilitate a structured conversation in a group setting where people disagree — managing the process rather than the positions, ensuring all voices are heard, and maintaining a constructive tone throughout. (LT 5.1) [draft]",high,—,—,"†Conflict Resolution Strategies (PS5)",medium,"I can develop collaboration strategies, provide constructive feedback, and communicate effectively under pressure (G9-10)",high,—,—,2,
T10,Interpersonal & Assertive Communication,F,"I can communicate effectively across significant difference — cultural, generational, or positional — adjusting my register, tone, and frame without losing my own perspective, and navigating the power dynamics that shape who gets heard. (LT 5.1) [draft]",high,—,—,—,—,"†Collaborative Communication and Feedback (G11-12)",high,"†Collaborative Project Management (Y12)",medium,2,
T11,Community Engagement Purpose & Civic Action,A,"I can do a classroom job and explain how it helps our class. (LT 5.2)",high,—,—,—,—,"I can share my independent thoughts and ideas with classmates. (K-1)",high,"†Contributing to Inclusive Communities (Y2)",medium,2,
T11,Community Engagement Purpose & Civic Action,B,"I can identify when someone is left out and invite them to join an activity. (LT 5.2)",high,—,—,—,—,"I can demonstrate fair and respectful behaviors in group activities (G2-3)",high,"†Contributing to Others' Wellbeing (Y2)",medium,2,
T11,Community Engagement Purpose & Civic Action,C,"I can identify a need in our school, propose a simple project, and complete it with a team. (LT 5.2)",high,—,—,—,—,"I can identify community needs and propose thoughtful solutions for classroom or school-wide problems (G4-5)",high,"†Collaborative Group Achievement (Y6)",medium,2,
T11,Community Engagement Purpose & Civic Action,D,"I can work with a diverse group to address a need, show the impact of our project, and explain why the work matters to me. (LT 5.2) [teacher review flag]",high,—,—,"I can evaluate how my values, attitudes and identity are shaped by the groups and social influences with which I interact. (PS4)",medium,"The student consistently expresses gratitude and actively contributes to school and community well-being (G6-8)",high,—,—,2,
T11,Community Engagement Purpose & Civic Action,E,"I can lead a sustained initiative that addresses a real community need, navigate the institutional and relational obstacles that arise, and articulate both the impact and the limits of what community action can achieve in this context. (LT 5.2) [draft]",high,—,—,"I can interact pro-socially in different groups and situations, and actively advocate for other individuals and groups. (PS5)",medium,"†Inclusive Community Building and Contribution (G9-10)",high,"†Environmental Action Orientation (Y9)",medium,1,
T11,Community Engagement Purpose & Civic Action,F,"I can articulate a clear sense of purpose — what I stand for, what I want to contribute, and why — grounded in my history of engagement, and make deliberate choices about the communities and roles through which I will pursue it beyond school. (LT 5.2) [draft]",high,—,—,—,—,"†Community Contribution and Well-Being (G11-12)",high,"I can write a personal statement setting out my aspirations for being, becoming and contributing. (Y12)",medium,2,
T12,Wellbeing Science & Neuroscience Literacy,A,"I can name body signals that tell me something about how I feel, and describe what sleep and food do for my body and brain. (LT 6.1)",high,—,—,"I am beginning to recognise some of the behaviours, conditions and situations that affect my physical health and well-being (PS1)",medium,—,—,—,—,3,Unique REAL domain — systematic neuroscience instruction begins at Band A
T12,Wellbeing Science & Neuroscience Literacy,B,"I can explain what happens in my body during a fight, flight, or freeze response, and describe the three parts of the habit loop. (LT 6.1)",high,—,—,"†Analyzing Physical-Emotional Connections (PS2)",medium,—,—,—,—,3,
T12,Wellbeing Science & Neuroscience Literacy,C,"I can explain how the amygdala and prefrontal cortex interact during a stressful moment, explain what neuroplasticity means, and describe how the habit loop explains behaviour change at the level of mechanism. (LT 6.1)",high,—,—,"†Mindful Self-Awareness Development (PS3)",medium,—,—,—,—,3,
T12,Wellbeing Science & Neuroscience Literacy,D,"I can use accurate neuroscience vocabulary to explain how stress, emotion, attention, and habit interact as a system, and describe the role of the HPA axis in the stress response. (LT 6.1)",high,"Understanding how the mind and body are connected and how physical health affects mental health (EoS)",medium,"†Mindful Self-Awareness Development (PS4)",medium,—,—,"I can explain how the amygdala and mirroring neurons affect emotional responses. (Y9)",medium,1,
T12,Wellbeing Science & Neuroscience Literacy,E,"I can apply my understanding of the stress-emotion-attention-habit system to evaluate a wellbeing intervention — explaining its proposed mechanism, what the evidence suggests about its effectiveness, and what it would and would not change. (LT 6.1) [draft]",high,"Recognising symptoms of common mental health conditions and how they can be treated (EoS)",medium,—,—,—,—,—,—,3,
T12,Wellbeing Science & Neuroscience Literacy,F,"I can critically evaluate a contested claim in wellbeing science — identifying where the evidence is strong, where it is uncertain, and where popular accounts have oversimplified or misrepresented the research — and form a reasoned position of my own. (LT 6.1) [draft]",high,—,—,—,—,—,—,—,—,4,Unique to REAL across entire A-F progression — no other framework teaches critical wellbeing science literacy
T13,Health & Evidence Literacy,A,"I can identify whether a health claim comes from a trusted adult or source and explain my reasoning. (LT 6.2)",high,—,—,—,—,—,—,—,—,4,Unique to REAL at Bands A-C; RSHE partial coverage begins at D
T13,Health & Evidence Literacy,B,"I can compare two health information sources and describe which one I trust more and why. (LT 6.2)",high,—,—,"†Managing Health Through Behavioral Strategies (PS2)",medium,—,—,—,—,3,
T13,Health & Evidence Literacy,C,"I can analyse a health claim by examining the type of evidence it uses and identifying whether the source has a reason to be biased. (LT 6.2)",high,—,—,"†Making Informed Food Choices (PS3)",medium,—,—,—,—,3,
T13,Health & Evidence Literacy,D,"I can evaluate a contested health claim by comparing the quality of evidence on each side, identifying the strongest and weakest arguments, and justifying my conclusion. (LT 6.2)",high,"Understanding how to access reliable health information and evaluate sources (EoS)",medium,"†Making Evidence-Based Decisions (PS4)",medium,—,—,—,—,2,
T13,Health & Evidence Literacy,E,"I can assess the strength of an evidence base for a health claim — not just whether individual sources are trustworthy, but whether the cumulative research warrants the confidence placed in the claim — and identify the commercial or institutional interests that may have shaped the research agenda. (LT 6.2) [draft]",high,"Critically evaluating health information from different sources (EoS)",medium,—,—,—,—,—,—,3,
T13,Health & Evidence Literacy,F,"I can read and interpret a systematic review at an introductory level, trace how a policy recommendation was derived from an evidence base, and evaluate whether a specific guideline is well-supported or contested — articulating what I am certain of, uncertain about, and why. (LT 6.2) [draft]",high,—,—,—,—,—,—,—,—,4,
T14,Metacognition & Self-Directed Learning,A,"I can describe one thing I noticed about how I reacted to a situation and say what I might do differently next time. (LT 7.1)",high,—,—,—,—,"I can use problem-solving strategies and consider ideas from others to find solutions (PK)",high,—,—,3,
T14,Metacognition & Self-Directed Learning,B,"I can identify a pattern in how I tend to respond in a type of situation and give a reason for why that might happen. (LT 7.1)",high,—,—,—,—,"I can reflect on my behaviors and choices to identify their effects on myself and others (G2-3)",high,—,—,3,
T14,Metacognition & Self-Directed Learning,C,"I can analyse a pattern across more than one situation, explain what drives it, and describe a specific adjustment I have made or will make. (LT 7.1)",high,—,—,"†Reflecting on Past Experiences (PS3)",medium,"I can reflect on my behaviors and choices to identify their effects on myself and others (G4-5)",high,"†Understanding Personal Growth (Y6)",medium,1,
T14,Metacognition & Self-Directed Learning,D,"I can evaluate a pattern in my thinking or responses across different contexts, justify what sustains it, and describe the effect of a specific adjustment I have made. (LT 7.1)",high,—,—,"†Anticipating and Preparing for Future Situations (PS4)",medium,"I can apply a structured decision-making model to gather evidence and evaluate possible outcomes (G6-8)",high,"†Analyzing Personal Emotional Patterns (Y9)",medium,1,
T14,Metacognition & Self-Directed Learning,E,"I can apply a structured metacognitive protocol to a high-stakes academic or personal challenge — mapping my typical patterns, identifying the sustaining conditions, designing a specific intervention, tracking its effects, and iterating based on results. (LT 7.1) [draft]",high,—,—,—,—,"†Evaluating Personal Development Trajectories (G9-10)",high,"†Strategic Future Planning (Y9)",medium,2,
T14,Metacognition & Self-Directed Learning,F,"I can construct a personal metacognitive framework — a set of strategies, prompts, and monitoring practices I have developed and tested — and articulate how I will apply it in the next phase of my learning and life beyond school. (LT 7.1) [draft]",high,—,—,—,—,"†Evaluating Personal Development Trajectories (G11-12)",high,"†Reflecting on Personal Achievements (Y12)",medium,2,
