competency_cluster,lt_id,lt_name,prerequisites,band,indicator_1,indicator_2,indicator_3,self_reflection_prompt,parent_prompt_1,parent_prompt_2,parent_prompt_3,observation_stability
cluster_03: Emotional Awareness and Regulation,cluster_03_lt_02,Recognising Emotions as Fluid and Changeable,Connecting Experiences to Emotional Well-being,C,The student articulates how their emotional response to a recurring situation has changed over time or varies depending on their state.,The student reflects that emotions they experience are not permanent and can shift within minutes or hours.,"The student demonstrates flexibility in their emotional expectations, accepting that they may feel differently about something tomorrow than today.","Compare what you have noticed in yourself with what your teacher has observed. Where do the two accounts agree, and where do they differ?",,,,stable
cluster_03: Emotional Awareness and Regulation,cluster_03_lt_02,Recognising Emotions as Fluid and Changeable,Connecting Experiences to Emotional Well-being,D,"The student independently applies the understanding that emotions are fluid when navigating unfamiliar social or academic challenges, adjusting their expectations accordingly.","The student models for peers or younger students that feelings change across contexts and time, using concrete examples from their own experience.","The student sustains the orientation that emotions are changeable across multiple weeks or months, visibly drawing on this understanding to manage frustration, disappointment, or uncertainty in new situations.","Analyse a pattern you see in yourself across two or more different contexts. What has shifted, and what do you think caused the shift?",,,,stable
cluster_04: Communication About Mental Health,cluster_04_lt_02,Normalising Mental Health Talk,Communicating Feelings Appropriately,A,The student mentions their own feelings or emotional state in peer conversations when directly prompted or supported by an adult.,The student listens without visible discomfort when a peer shares about their emotions or mental health.,The student uses basic emotional vocabulary in response to questions about how they or others are feeling.,"Name a moment this term when you tried something hard. What happened, and how did it feel?",What have you noticed about how your child talks about feelings or emotions at home? Do they bring up their own emotional experiences or ask about yours?,"When your child talks about friends or school, do they mention other people's feelings or emotional well-being, or do they seem comfortable when emotions come up in conversation?","Have you noticed your child treating mental health or emotional struggles as something normal to discuss, or do they seem to avoid or feel uncomfortable with that kind of talk?",stable
cluster_04: Communication About Mental Health,cluster_04_lt_02,Normalising Mental Health Talk,Communicating Feelings Appropriately,B,The student initiates brief conversations with peers about feelings or emotional experiences without adult prompting.,The student responds to a peer's emotional disclosure by acknowledging it or asking a follow-up question.,The student references their own emotional experiences or mental health in small-group settings when the topic arises naturally.,"Describe one pattern you have noticed in yourself this term. When does it show up, and when does it not?",,,,stable
cluster_04: Communication About Mental Health,cluster_04_lt_02,Normalising Mental Health Talk,Communicating Feelings Appropriately,C,"The student brings up mental health or emotional well-being topics with peers in informal settings, normalising such conversation as part of regular interaction.",The student demonstrates comfort discussing their own emotional struggles or challenges without shame or minimisation.,The student encourages or validates a peer's emotional expression by treating mental health talk as ordinary and important.,"Compare what you have noticed in yourself with what your teacher has observed. Where do the two accounts agree, and where do they differ?",,,,stable
cluster_04: Communication About Mental Health,cluster_04_lt_02,Normalising Mental Health Talk,Communicating Feelings Appropriately,D,"The student sustains normalised mental health talk across multiple peer contexts and unfamiliar social situations, treating emotional well-being as a routine part of conversation.",The student models openness about their own mental health and emotional experiences in ways that invite others to do the same.,"The student actively works to shift peer or community norms by consistently framing mental health discussion as natural and destigmatised, even when others show initial hesitation.","Analyse a pattern you see in yourself across two or more different contexts. What has shifted, and what do you think caused the shift?",,,,stable
cluster_05: Informed Decision-Making,cluster_05_lt_03,Valuing Collective Decision-Making Participation,Analysing Decision Impacts Across Contexts; Evaluating Influencing Factors and Implications,A,The student contributes a response or idea when directly invited to participate in a group decision-making activity.,The student listens to at least one other person's perspective before offering their own view in a collective decision.,The student asks a clarifying question about the decision being made when prompted by the teacher or peer.,"Name a moment this term when you tried something hard. What happened, and how did it feel?","When your child is part of a family decision or discussion, what have you noticed about whether they share their own ideas and listen to what others think?","Have you seen your child ask questions or bring up something important that helps the family understand a decision better, rather than just going along with what others say?","In situations where your child disagrees with a family choice, how do they express their view—do they explain their thinking in a way that shows they've thought about how the decision affects people?",stable
cluster_05: Informed Decision-Making,cluster_05_lt_03,Valuing Collective Decision-Making Participation,Analysing Decision Impacts Across Contexts; Evaluating Influencing Factors and Implications,B,"The student volunteers a contribution to a group decision without waiting to be called on, and references at least one factor that affects the decision.",The student acknowledges another person's viewpoint by name or idea before presenting a different perspective in the same discussion.,"The student stays engaged in a collective decision-making conversation for the full duration, even when the topic shifts or becomes complex.","Describe one pattern you have noticed in yourself this term. When does it show up, and when does it not?",,,,stable
cluster_05: Informed Decision-Making,cluster_05_lt_03,Valuing Collective Decision-Making Participation,Analysing Decision Impacts Across Contexts; Evaluating Influencing Factors and Implications,C,"The student initiates a question or observation that deepens the group's understanding of the decision at hand, drawing on prior analysis of impacts or influencing factors.",The student builds on another person's contribution by adding relevant information or a connected idea that moves the collective thinking forward.,The student proposes a way to include a perspective or voice that has not yet been heard in the decision-making process.,"Compare what you have noticed in yourself with what your teacher has observed. Where do the two accounts agree, and where do they differ?",,,,stable
cluster_05: Informed Decision-Making,cluster_05_lt_03,Valuing Collective Decision-Making Participation,Analysing Decision Impacts Across Contexts; Evaluating Influencing Factors and Implications,D,"The student independently identifies and articulates how a decision might affect different stakeholders, and uses this analysis to shape their own contribution to the group's deliberation.","The student seeks out opportunities to participate in collective decision-making across different contexts and groups, and sustains meaningful contribution over time.","The student models inclusive participation by actively inviting quieter peers to contribute, synthesising multiple viewpoints, and helping the group reach a decision that reflects shared reasoning.","Analyse a pattern you see in yourself across two or more different contexts. What has shifted, and what do you think caused the shift?",,,,stable
cluster_06: Career Pathway Planning,cluster_06_lt_02,Engaging Thoughtfully in Career Planning,Identifying Consequences of Career Choices,A,"The student asks clarifying questions about a career option when prompted by an adult, such as what daily tasks or required qualifications are involved.",The student pauses to consider how a career choice might affect their daily life or family when an adult points out a connection.,The student identifies one or two factors that matter to them in a career when given a structured list to choose from.,"Name a moment this term when you tried something hard. What happened, and how did it feel?","What have you noticed about how your child talks about or thinks through different job or career ideas at home? Do they ask questions, consider how a choice might affect them, or seem to weigh options?","When your child mentions a career they are interested in, what kinds of details do they focus on or ask about? Do they think about what the day-to-day work would be like, the training needed, or how it fits with their life?",Have you seen your child change their mind about a career path after learning something new or talking to someone in that field? What prompted the shift in their thinking?,stable
cluster_06: Career Pathway Planning,cluster_06_lt_02,Engaging Thoughtfully in Career Planning,Identifying Consequences of Career Choices,B,"The student initiates questions about multiple aspects of a career pathway, including work environment, required education, and personal fit, without prompting.","The student compares two career options by noting differences in responsibilities, schedules, or lifestyle impact without adult direction.",The student explains why a particular career appeals to them by referencing specific personal values or interests they have identified.,"Describe one pattern you have noticed in yourself this term. When does it show up, and when does it not?",,,,stable
cluster_06: Career Pathway Planning,cluster_06_lt_02,Engaging Thoughtfully in Career Planning,Identifying Consequences of Career Choices,C,"The student systematically gathers information about career pathways through conversations, research, or informational interviews, and organises findings to evaluate options.",The student weighs trade-offs between career options by discussing how different choices align with or conflict with their priorities and long-term goals.,"The student revises their thinking about a career pathway after encountering new information or perspectives, explaining what changed their view.","Compare what you have noticed in yourself with what your teacher has observed. Where do the two accounts agree, and where do they differ?",,,,stable
cluster_06: Career Pathway Planning,cluster_06_lt_02,Engaging Thoughtfully in Career Planning,Identifying Consequences of Career Choices,D,"The student independently pursues in-depth exploration of multiple career pathways across different contexts and timeframes, synthesising evidence to articulate a reasoned career direction.",The student applies their understanding of personal consequences and career realities to evaluate emerging or unfamiliar career options with the same deliberation they show for familiar ones.,"The student engages peers or younger students in thoughtful career planning conversations, modelling how to ask probing questions and consider multiple dimensions of a pathway.","Analyse a pattern you see in yourself across two or more different contexts. What has shifted, and what do you think caused the shift?",,,,stable
cluster_08: Healthy Relationships,cluster_08_lt_03,Prioritising Healthy Relationships,Understanding Healthy Relationships; Recognising and Responding to Unhealthy Dynamics,A,The student initiates contact with a peer or familiar adult after being prompted or encouraged to do so.,The student accepts invitations to join group activities and remains engaged for the duration with adult support.,The student asks a simple question about another person's experience or feelings when reminded to do so.,"Name a moment this term when you tried something hard. What happened, and how did it feel?","What have you noticed about how your child chooses to spend time with friends or family members, and whether they seem to value those connections?","When your child has had a disagreement or difficulty with a peer or family member, how have you seen them respond or try to work through it?","In what ways have you noticed your child showing care or interest in the wellbeing of others, and how often do they do this without being asked?",stable
cluster_08: Healthy Relationships,cluster_08_lt_03,Prioritising Healthy Relationships,Understanding Healthy Relationships; Recognising and Responding to Unhealthy Dynamics,B,The student regularly seeks out specific peers or adults to spend time with and initiates simple conversations without prompting.,The student notices when a peer seems upset and offers basic support such as sitting nearby or sharing materials.,The student remembers details about a peer's interests or experiences and refers to them in subsequent interactions.,"Describe one pattern you have noticed in yourself this term. When does it show up, and when does it not?",,,,stable
cluster_08: Healthy Relationships,cluster_08_lt_03,Prioritising Healthy Relationships,Understanding Healthy Relationships; Recognising and Responding to Unhealthy Dynamics,C,The student actively maintains contact with multiple peers across different contexts and adjusts their communication style to suit different relationships.,The student recognises tension or conflict in a relationship and takes steps to address it through conversation or seeking help from a trusted adult.,"The student demonstrates care by checking in with peers over time, following up on previous conversations, and offering support during challenges.","Compare what you have noticed in yourself with what your teacher has observed. Where do the two accounts agree, and where do they differ?",,,,stable
cluster_08: Healthy Relationships,cluster_08_lt_03,Prioritising Healthy Relationships,Understanding Healthy Relationships; Recognising and Responding to Unhealthy Dynamics,D,"The student sustains meaningful relationships across unfamiliar or changing contexts by consistently showing interest, reliability, and emotional responsiveness.",The student proactively reflects on the health of their relationships and makes deliberate choices to strengthen connections or respectfully distance from unhealthy dynamics.,"The student models healthy relationship practices for others by demonstrating respect, boundaries, and reciprocal care in both one-to-one and group settings.","Analyse a pattern you see in yourself across two or more different contexts. What has shifted, and what do you think caused the shift?",,,,stable
