## source_type,england_rshe_full
## band_count,2
## age_range_hint,"ages 5-16 (DfE RSHE statutory guidance July 2025; primary phase = Years 1-6, secondary phase = Years 7-11; two-phase structure, no within-phase KS subdivision)"
## detection_confidence,high
## progression_philosophy,"The DfE RSHE statutory guidance (July 2025) uses a two-phase architecture: 'content to be covered by the end of primary' and 'content to be covered by the end of secondary'. Neither phase is subdivided into individual Key Stages within the curriculum content sections. Two-band output reflects the guidance's own structure. Per DfE statutory RSHE guidance (England), Children and Social Work Act 2017."
## band_detail | End of Primary,age_range=ages 5-11,grade_year=Years 1-6 (KS1 and KS2),"Primary pupils develop the foundational skills and knowledge needed for positive relationships, personal safety, and health. Outcomes are framed as terminal goals for all primary pupils; year-group and KS1/KS2 sequencing is a school decision. Primary relationships education does not include RSE content; sex education in primary is non-statutory."
## band_detail | End of Secondary,age_range=ages 11-16,grade_year=Years 7-11 (KS3 and KS4),"Secondary pupils develop the knowledge, values and personal qualities needed to navigate relationships, sex and health across the full secondary phase. Outcomes are framed as terminal goals for all secondary pupils; KS3/KS4 and year-group sequencing is a school decision."

competency_cluster,lt_id,lt_name,lt_definition,knowledge_type,assessment_route,lt_stability,kud_items_covered,prerequisites,end_of_primary,end_of_secondary,band_statements_stability,band_gate_status
cluster_05: Friendship Development and Management,cluster_05_lt_01,Understanding Healthy Friendship Characteristics,"I can identify and explain the key characteristics that make friendships positive, caring, and supportive.",Type 1,rubric_with_clear_criteria,stable,blk_0035_item_01; blk_0037_item_01; blk_0039_item_01; blk_0041_item_01; blk_0043_item_01,,I can identify key characteristics that make friendships positive and caring with guidance.,I can explain and justify the essential characteristics that create supportive friendships across different contexts.,stable,PASS
cluster_05: Friendship Development and Management,cluster_05_lt_02,Developing and Managing Friendship Skills,I can apply strategies to build caring friendships and respond appropriately when friendships face challenges.,Type 2,reasoning_quality_rubric,stable,blk_0037_item_02; blk_0046_item_01,cluster_05_lt_01,I can apply basic strategies to build caring friendships and respond to simple friendship challenges.,I can independently apply sophisticated strategies to build caring friendships and respond effectively to complex friendship challenges.,band_statements_unstable,PASS
cluster_06: Interpersonal Skills and Boundaries,cluster_06_lt_01,Assertive Communication and Boundary Setting,I can communicate assertively to express needs and set appropriate boundaries while managing my emotions effectively.,Type 2,reasoning_quality_rubric,stable,blk_0050_item_01; blk_0054_item_01; blk_0054_item_02; blk_0056_item_01; blk_0060_item_01; blk_0063_item_01; blk_0086_item_01; blk_0146_item_01,,,,missing,missing
cluster_06: Interpersonal Skills and Boundaries,cluster_06_lt_02,Respectful Relationship Practices,The student practises respectful communication and maintains healthy boundaries across diverse relationships and contexts.,Type 3,multi_informant_observation,stable,blk_0052_item_01; blk_0058_item_01,,,,,N/A (Type 3)
cluster_07: Bullying Prevention and Response,cluster_07_lt_01,Understanding Bullying and Stereotypes,I can identify different types of bullying and stereotypes and explain their harmful impacts.,Type 1,rubric_with_clear_criteria,stable,blk_0065_item_01; blk_0067_item_01; blk_0148_item_01; blk_0148_item_02,,I can identify different types of bullying and stereotypes and describe why they are harmful.,I can identify different types of bullying and stereotypes and explain their complex psychological and social impacts.,stable,PASS
cluster_07: Bullying Prevention and Response,cluster_07_lt_02,Responding to Bullying and Stereotypes,I can challenge stereotypes and seek appropriate help when bullying occurs.,Type 2,reasoning_quality_rubric,stable,blk_0067_item_02; blk_0069_item_01; blk_0148_item_03,cluster_07_lt_01,I can identify stereotypes and tell a trusted adult when bullying happens to me or others.,I can challenge stereotypes confidently and evaluate appropriate support strategies when responding to different bullying situations.,stable,PASS
cluster_07: Bullying Prevention and Response,cluster_07_lt_03,Bystander Responsibility,The student enacts responsibility to report bullying and support others when witnessing harmful behaviour.,Type 3,multi_informant_observation,stable,blk_0148_item_04,,,,,N/A (Type 3)
cluster_08: Online Safety and Digital Citizenship,cluster_08_lt_01,Understanding Digital Risks and Safety Principles,I can identify online risks and explain safety principles for protecting personal information and navigating digital relationships.,Type 1,rubric_with_clear_criteria,stable,blk_0073_item_01; blk_0075_item_01; blk_0077_item_01; blk_0079_item_01; blk_0081_item_01; blk_0083_item_01; blk_0164_item_01; blk_0166_item_01; blk_0166_item_02; blk_0168_item_01; blk_0168_item_02; blk_0168_item_03; blk_0170_item_01; blk_0170_item_02; blk_0172_item_01; blk_0172_item_02; blk_0172_item_03; blk_0172_item_04; blk_0176_item_01; blk_0176_item_02; blk_0176_item_03; blk_0178_item_01; blk_0179_item_01; blk_0179_item_02; blk_0186_item_01; blk_0189_item_01; blk_0191_item_01; blk_0191_item_02; blk_0193_item_01,,I can identify basic online risks and explain simple safety rules for protecting personal information.,I can analyse complex digital risks and justify comprehensive safety principles for protecting information and managing relationships online.,stable,PASS
cluster_08: Online Safety and Digital Citizenship,cluster_08_lt_02,Evaluating and Responding to Online Threats,"I can critically evaluate online relationships and content, identify harmful situations, and apply appropriate response strategies.",Type 2,reasoning_quality_rubric,stable,blk_0073_item_02; blk_0075_item_02; blk_0075_item_03; blk_0174_item_01; blk_0176_item_04; blk_0183_item_01; blk_0191_item_03; blk_0191_item_04; blk_0193_item_02,cluster_08_lt_01,I can identify harmful online situations and explain basic strategies to respond safely.,I can critically evaluate complex online relationships and content to justify appropriate response strategies across varied digital contexts.,stable,PASS
cluster_08: Online Safety and Digital Citizenship,cluster_08_lt_03,Practising Digital Caution and Responsibility,The student practises cautious sharing of personal information and responsible handling of digital content across online contexts.,Type 3,multi_informant_observation,stable,blk_0079_item_02; blk_0170_item_03,,,,,N/A (Type 3)
cluster_09: Trust and Safety Assessment,cluster_09_lt_01,Recognising Trust and Safety Risks,I can identify trustworthy versus untrustworthy people and recognise unsafe situations or inappropriate contact.,Type 2,reasoning_quality_rubric,stable,blk_0090_item_01; blk_0092_item_01; blk_0094_item_01; blk_0135_item_01; blk_0201_item_01; blk_0203_item_03; blk_0203_item_04,,I can identify trustworthy people and recognise when situations or contact feel unsafe with adult support.,I can independently evaluate trustworthiness and analyse complex situations to identify potential safety risks and inappropriate contact.,stable,PASS
cluster_09: Trust and Safety Assessment,cluster_09_lt_02,Seeking Help and Reporting Concerns,I can report safety concerns and seek appropriate help using proper vocabulary and channels.,Type 2,reasoning_quality_rubric,stable,blk_0088_item_01; blk_0096_item_01; blk_0096_item_02; blk_0098_item_01; blk_0201_item_02; blk_0203_item_01; blk_0203_item_02,,I can identify trusted adults and report safety concerns using simple vocabulary.,I can evaluate appropriate reporting channels and communicate complex safety concerns with precise vocabulary.,stable,PASS
cluster_09: Trust and Safety Assessment,cluster_09_lt_03,Trusting Safety Instincts,The student practises trusting their instincts and maintains confidence when reporting safety concerns.,Type 3,multi_informant_observation,stable,blk_0096_item_03; blk_0203_item_05,,,,,N/A (Type 3)
cluster_11: Healthy Romantic Relationships,cluster_11_lt_01,Understanding Healthy Relationship Foundations,"I can explain the key elements that create respectful, ethical romantic relationships including consent, boundaries, equality, and power dynamics.",Type 1,rubric_with_clear_criteria,stable,blk_0139_item_01; blk_0141_item_02; blk_0143_item_01; blk_0143_item_03; blk_0152_item_01; blk_0152_item_02; blk_0154_item_01; blk_0156_item_01; blk_0158_item_01,,"I can identify basic elements of respectful relationships including kindness, fairness, and listening to others.","I can explain how consent, boundaries, equality, and power dynamics create respectful, ethical romantic relationships.",stable,PASS
cluster_11: Healthy Romantic Relationships,cluster_11_lt_02,Analysing Relationship Challenges and Influences,"I can evaluate how stereotypes, power imbalances, and cultural influences affect relationship dynamics and apply strategies for managing conflict and endings.",Type 2,reasoning_quality_rubric,stable,blk_0150_item_01; blk_0154_item_02; blk_0160_item_01,cluster_11_lt_01,I can identify basic stereotypes and unfairness in relationships and describe simple strategies for resolving disagreements.,"I can evaluate how stereotypes, power imbalances, and cultural influences affect relationship dynamics and apply strategies for managing conflict and endings.",stable,PASS
cluster_11: Healthy Romantic Relationships,cluster_11_lt_03,Practising Respectful Interpersonal Conduct,The student treats others with kindness and respect across all interactions while developing personal independence and interests.,Type 3,multi_informant_observation,stable,blk_0141_item_01; blk_0143_item_02,,,,,N/A (Type 3)
cluster_12: Sexual Consent and Ethics,cluster_12_lt_01,Communicating Consent and Boundaries,"I can recognise, respect and communicate consent and boundaries in relationships including early romantic and sexual relationships.",Type 2,reasoning_quality_rubric,stable,blk_0197_item_01,cluster_01_lt_02,I can recognise and communicate basic personal boundaries in friendships and family relationships.,"I can recognise, respect and clearly communicate consent and boundaries in romantic and sexual relationships.",stable,PASS
cluster_12: Sexual Consent and Ethics,cluster_12_lt_02,Understanding Sexual Consent Principles,"I can explain the principles of sexual consent including that it can be given, withheld or removed at any time.",Type 1,rubric_with_clear_criteria,stable,blk_0197_item_02; blk_0233_item_01; blk_0235_item_01; blk_0237_item_01; blk_0237_item_02; blk_0237_item_03,cluster_12_lt_01,I can explain that people can say yes or no to physical contact and change their mind.,"I can explain the principles of sexual consent including that it can be given, withheld or removed at any time.",stable,PASS
cluster_13: Sexual and Reproductive Health,cluster_13_lt_01,Understanding Sexual Health Knowledge,"I can explain contraceptive options, pregnancy choices, STI prevention, and reproductive health facts.",Type 1,rubric_with_clear_criteria,stable,blk_0239_item_01; blk_0242_item_01; blk_0244_item_01; blk_0246_item_01; blk_0247_item_01; blk_0247_item_02; blk_0247_item_03; blk_0249_item_01; blk_0252_item_01; blk_0254_item_01; blk_0465_item_01; blk_0465_item_02; blk_0467_item_01,,I can identify basic facts about how babies are made and born with adult guidance.,"I can explain contraceptive methods, pregnancy options, STI prevention strategies, and reproductive health information accurately.",stable,PASS
cluster_13: Sexual and Reproductive Health,cluster_13_lt_02,Applying Sexual Health Information Skills,I can evaluate and signpost medically accurate sexual health information and counter misinformation effectively.,Type 2,reasoning_quality_rubric,stable,blk_0242_item_02; blk_0254_item_02,cluster_13_lt_01,I can identify trusted sources for basic sexual health information with adult guidance.,I can evaluate sexual health information sources independently and effectively counter misinformation with evidence.,stable,PASS
cluster_14: Mental Health and Emotional Wellbeing,cluster_14_lt_01,Understanding Emotions and Mental Health,"I can identify emotions, explain mental health concepts, and describe factors that support or harm wellbeing.",Type 1,rubric_with_clear_criteria,lt_set_unstable,blk_0259_item_01; blk_0259_item_02; blk_0262_item_01; blk_0262_item_02; blk_0270_item_01; blk_0272_item_01; blk_0274_item_01; blk_0355_item_01; blk_0355_item_05; blk_0357_item_01; blk_0364_item_01; blk_0366_item_01; blk_0366_item_02; blk_0368_item_01; blk_0370_item_01; blk_0370_item_02; blk_0373_item_01; blk_0375_item_01; blk_0377_item_01; blk_0377_item_02,,I can identify basic emotions and describe simple factors that help keep me mentally healthy.,I can explain complex mental health concepts and analyse how multiple factors interact to support or harm wellbeing.,stable,PASS
cluster_14: Mental Health and Emotional Wellbeing,cluster_14_lt_02,Recognising and Responding to Mental Health Needs,"I can assess emotional responses, judge when support is needed, and communicate about mental health appropriately.",Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0264_item_01; blk_0266_item_01; blk_0270_item_02; blk_0274_item_02; blk_0355_item_03; blk_0355_item_04; blk_0357_item_02; blk_0362_item_01,cluster_14_lt_01,I can recognise basic emotional responses in myself and others and identify when adult help is needed.,"I can assess complex emotional situations, evaluate appropriate support options, and communicate effectively about mental health concerns.",stable,PASS
cluster_14: Mental Health and Emotional Wellbeing,cluster_14_lt_03,Sustaining Personal and Others' Wellbeing,The student practises ongoing care for their own and others' mental health across different contexts.,Type 3,multi_informant_observation,lt_set_unstable,blk_0355_item_02,,,,,N/A (Type 3)
cluster_15: Digital Wellbeing and Online Behaviour,cluster_15_lt_01,Understanding Digital Risks and Impacts,I can identify the risks and benefits of online activities and their impact on wellbeing.,Type 1,rubric_with_clear_criteria,lt_set_unstable,blk_0284_item_01; blk_0288_item_01; blk_0290_item_01; blk_0294_item_01; blk_0296_item_01; blk_0381_item_01; blk_0383_item_01; blk_0383_item_02; blk_0383_item_03; blk_0387_item_01; blk_0389_item_01; blk_0389_item_03; blk_0391_item_01; blk_0393_item_01,,I can identify basic risks and benefits of online activities with guidance.,I can analyse complex digital risks and benefits and evaluate their long-term impact on wellbeing.,band_statements_unstable,PASS
cluster_15: Digital Wellbeing and Online Behaviour,cluster_15_lt_02,Making Responsible Digital Decisions,I can evaluate online content and relationships to make informed decisions about digital engagement.,Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0280_item_01; blk_0282_item_01; blk_0286_item_01; blk_0292_item_01; blk_0294_item_02; blk_0385_item_01; blk_0389_item_02; blk_0393_item_02; blk_0393_item_03,cluster_15_lt_01,I can identify helpful and harmful online content with guidance to make basic digital choices.,I can evaluate complex online content and relationships independently to make informed decisions about digital engagement.,stable,PASS
cluster_16: Physical Health and Lifestyle,cluster_16_lt_01,Understanding Health Knowledge and Risks,"I can identify key facts about nutrition, physical activity, substance use, hygiene, and health maintenance practices.",Type 1,rubric_with_clear_criteria,stable,blk_0303_item_01; blk_0306_item_01; blk_0309_item_01; blk_0313_item_01; blk_0316_item_01; blk_0320_item_01; blk_0322_item_01; blk_0324_item_01; blk_0324_item_02; blk_0324_item_03; blk_0326_item_01; blk_0328_item_01; blk_0330_item_01; blk_0396_item_01; blk_0403_item_01; blk_0405_item_01; blk_0410_item_01; blk_0413_item_01; blk_0413_item_02; blk_0415_item_01; blk_0418_item_01; blk_0420_item_01; blk_0424_item_01; blk_0426_item_01; blk_0428_item_01; blk_0430_item_01; blk_0432_item_01; blk_0434_item_01; blk_0434_item_02; blk_0436_item_01; blk_0436_item_02; blk_0436_item_03,,"I can identify basic facts about healthy eating, exercise, cleanliness, and avoiding harmful substances.","I can analyse complex health information about nutrition, physical activity, substance risks, and preventive health practices.",band_statements_unstable,PASS
cluster_16: Physical Health and Lifestyle,cluster_16_lt_02,Seeking Health Support,I can determine when and how to seek appropriate health support from trusted adults and healthcare professionals.,Type 2,reasoning_quality_rubric,stable,blk_0306_item_02,,I can identify when I need help with health concerns and ask trusted adults for support.,I can evaluate health situations to determine appropriate support sources and communicate effectively with healthcare professionals.,stable,PASS
cluster_16: Physical Health and Lifestyle,cluster_16_lt_03,Personal Health Responsibility,The student holds responsibility for maintaining their own health through regular self-examination and screening practices.,Type 3,multi_informant_observation,stable,blk_0430_item_02,,,,,N/A (Type 3)
cluster_17: Healthcare Access and Medical Decision-Making,cluster_17_lt_01,Navigating Healthcare Services,I can identify appropriate healthcare services for different needs and explain how to access them.,Type 1,rubric_with_clear_criteria,stable,blk_0438_item_01,,I can identify basic healthcare services like doctors and dentists and describe simple ways to access them.,I can evaluate appropriate healthcare services for diverse health needs and explain comprehensive access pathways including barriers.,stable,PASS
cluster_17: Healthcare Access and Medical Decision-Making,cluster_17_lt_02,Understanding Medical Consent Capacity,I can explain the legal framework for medical consent including age-related capacity and competency requirements.,Type 1,rubric_with_clear_criteria,stable,blk_0440_item_01; blk_0441_item_01,,I can identify that adults help children make important decisions about their health and medical care.,I can explain the legal framework for medical consent including age-related capacity and competency requirements.,stable,PASS
cluster_18: Personal Safety and Risk Management,cluster_18_lt_01,Identifying Safety Hazards and Risks,I can identify potential hazards and assess safety risks across different environments and situations.,Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0333_item_01; blk_0335_item_01; blk_0445_item_01; blk_0453_item_01; blk_0453_item_02,,I can identify obvious hazards and describe basic safety risks in familiar environments with guidance.,I can independently assess complex safety risks and evaluate potential consequences across diverse unfamiliar situations.,stable,PASS
cluster_18: Personal Safety and Risk Management,cluster_18_lt_02,Managing Personal Safety and Seeking Help,"I can implement safety strategies, manage peer influence, and seek appropriate help when facing safety concerns.",Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0338_item_01; blk_0340_item_01; blk_0445_item_01; blk_0447_item_01; blk_0449_item_01; blk_0449_item_02; blk_0455_item_01,cluster_18_lt_01,I can identify basic safety strategies and ask trusted adults for help when I feel unsafe.,"I can evaluate complex safety situations, resist negative peer influence, and independently access appropriate support services.",stable,PASS
cluster_19: Puberty and Physical Development,cluster_19_lt_01,Understanding Physical Development During Puberty,I can explain the physical changes that occur during puberty and adolescence.,Type 1,rubric_with_clear_criteria,stable,blk_0344_item_01; blk_0348_item_01; blk_0348_item_02; blk_0351_item_01; blk_0468_item_01,,I can describe the basic physical changes that happen during puberty with guidance.,I can explain the physical changes during puberty and adolescence including their biological causes and individual variation.,stable,PASS
cluster_19: Puberty and Physical Development,cluster_19_lt_02,Protecting Health and Wellbeing,I can identify when health issues require attention and apply strategies to protect wellbeing.,Type 2,reasoning_quality_rubric,stable,blk_0351_item_02; blk_0351_item_03,cluster_19_lt_01,I can identify basic health issues that need adult help and follow simple wellbeing strategies.,I can evaluate complex health concerns requiring professional attention and independently apply comprehensive wellbeing protection strategies.,stable,PASS
