competency_cluster,lt_id,lt_name,knowledge_type,stability,gate_passed,gate_failures,competent_framing_flag,competent_framing_judge_rationale,propositional_thin_flag,no_evidence,emerging,developing,competent,extending,prerequisite_edges,diagnostic
cluster_08: Online Safety and Digital Citizenship,cluster_08_lt_01,Understanding Digital Risks and Safety Principles,Type 1,stable,PASS,,pass,"The descriptor declares the capability as demonstrated independently and comprehensively, standing alone as evidence that the learning target is met.",False,No attempt to identify online risks or safety principles.,"With support, names some online risks but explanations are incomplete or inaccurate.",Independently identifies basic online risks and explains simple safety principles with minor gaps.,Independently identifies diverse online risks and explains comprehensive safety principles for protecting personal information and navigating digital relationships.,Applies safety principles to novel scenarios and evaluates emerging digital risks beyond standard contexts.,cluster_01_lt_02 [pedagogical_sequencing/medium] Understanding personal boundaries supports recognizing digital boundary violations and privacy needs.; cluster_04_lt_01 [pedagogical_sequencing/medium] Recognizing unsafe situations generally helps identify when online interactions become harmful or inappropriate.,
cluster_08: Online Safety and Digital Citizenship,cluster_08_lt_02,Evaluating and Responding to Online Threats,Type 2,stable,PASS,,pass,The descriptor declares the capability as fully demonstrated and independently achieved at the learning target's level of demand without hedging language or positioning it as incomplete.,False,No attempt to evaluate online threats or responses.,"With support, identifies some obvious online risks but responses are inappropriate or incomplete.",Independently recognises clear online threats but struggles to evaluate complex situations or select effective responses.,"Critically evaluates online relationships and content, identifies harmful situations accurately, and applies appropriate response strategies independently.",Transfers evaluation skills to novel online contexts and helps others develop threat recognition capabilities.,cluster_08_lt_01 [ontological_prerequisite/high] Cannot evaluate online threats without understanding digital risks and safety principles.; cluster_04_lt_01 [pedagogical_sequencing/medium] General ability to recognise unsafe situations supports online threat identification.; cluster_09_lt_02 [pedagogical_sequencing/medium] Help-seeking skills are typically established before applying response strategies to online threats.,
cluster_09: Trust and Safety Assessment,cluster_09_lt_01,Recognising Trust and Safety Risks,Type 2,stable,PASS,,pass,The descriptor declares the capability as fully demonstrated with 'independently identifies' and 'recognises' without any hedging language or positioning as incomplete.,False,No attempt to identify trustworthy people or unsafe situations.,"With support, identifies some obvious trust or safety indicators but makes frequent errors.",Independently recognises clear trustworthy behaviours and obvious unsafe situations but misses subtle warning signs.,Independently identifies trustworthy versus untrustworthy people and recognises unsafe situations or inappropriate contact across various contexts.,Applies trust and safety recognition skills to complex or ambiguous situations with sophisticated reasoning.,cluster_01_lt_01 [ontological_prerequisite/high] Understanding private body parts is essential for recognising inappropriate contact.; cluster_01_lt_02 [pedagogical_sequencing/medium] Understanding personal boundaries supports recognition of boundary violations by others.,
cluster_09: Trust and Safety Assessment,cluster_09_lt_02,Seeking Help and Reporting Concerns,Type 2,stable,PASS,,pass,The descriptor declares the capability as fully demonstrated with 'independently' and 'consistently' indicating complete mastery of the learning target.,False,No attempt to report concerns or seek help.,"With support, attempts to communicate safety concerns using limited vocabulary or inappropriate channels.",Independently identifies need for help but uses unclear vocabulary or selects inappropriate reporting channels.,Independently reports safety concerns and seeks appropriate help using clear vocabulary and proper channels consistently.,Adapts reporting strategies to complex situations and guides others in seeking appropriate help effectively.,cluster_09_lt_01 [ontological_prerequisite/high] Must recognise unsafe situations before being able to report them.; cluster_04_lt_01 [ontological_prerequisite/high] Must identify abuse and unsafe situations to know what requires reporting.; cluster_04_lt_02 [pedagogical_sequencing/medium] Understanding rights and support systems typically precedes learning specific reporting procedures.,
cluster_11: Healthy Romantic Relationships,cluster_11_lt_02,Analysing Relationship Challenges and Influences,Type 2,stable,PASS,,pass,The descriptor declares the capability as fully demonstrated at the learning target's level of demand without hedging language or positioning it as incomplete.,False,No attempt to analyse relationship challenges or influences.,"With support, identifies some stereotypes or influences but analysis lacks depth or accuracy.",Independently identifies relationship challenges and influences but evaluation remains superficial or strategies are basic.,"Evaluates how stereotypes, power imbalances, and cultural influences affect relationship dynamics and applies effective strategies for managing conflict and endings.",Transfers evaluation skills to complex scenarios and integrates multiple strategies for relationship challenges fluently.,cluster_11_lt_01 [ontological_prerequisite/high] Cannot evaluate relationship dynamics without understanding healthy relationship foundations.; cluster_07_lt_01 [pedagogical_sequencing/high] Understanding stereotypes generally precedes analysing their specific impact on relationships.; cluster_02_lt_02 [pedagogical_sequencing/medium] Managing basic relationship challenges builds foundation for analysing complex relationship dynamics.,
cluster_12: Sexual Consent and Ethics,cluster_12_lt_01,Communicating Consent and Boundaries,Type 2,stable,PASS,,pass,The descriptor declares the capability as fully demonstrated with 'independently' and 'effectively' indicating complete mastery of the learning target.,False,No attempt to communicate consent or boundaries.,"With support, identifies some consent concepts but communicates boundaries inconsistently or inaccurately.",Communicates basic consent and boundaries in familiar situations but struggles with complex or unfamiliar relationship contexts.,"Independently recognises, respects and communicates consent and boundaries effectively in early romantic and sexual relationships.",Transfers consent communication skills to novel contexts and supports others in understanding boundary dynamics.,cluster_01_lt_02 [ontological_prerequisite/high] Cannot communicate consent and boundaries without foundational boundary communication skills.; cluster_06_lt_01 [ontological_prerequisite/high] Assertive communication is essential for effectively communicating consent and boundaries.; cluster_11_lt_01 [pedagogical_sequencing/high] Understanding healthy relationship foundations typically precedes applying consent communication in romantic contexts.; cluster_12_lt_02 [ontological_prerequisite/high] Cannot communicate sexual consent without understanding its fundamental principles.,
cluster_12: Sexual Consent and Ethics,cluster_12_lt_02,Understanding Sexual Consent Principles,Type 1,rubric_unstable,PASS,,pass,"The descriptor declares the capability as demonstrated with accurate understanding, standing alone as evidence the learning target is met.",False,No attempt to explain sexual consent principles.,"With support, identifies some consent concepts but explanations are incomplete or inaccurate.",Explains basic consent principles but misses key aspects like withdrawal or timing flexibility.,"Explains that sexual consent can be given, withheld, or removed at any time with accurate understanding.",Connects consent principles to broader ethical frameworks and real-world relationship scenarios.,cluster_01_lt_02 [ontological_prerequisite/high] Understanding personal boundaries is essential before grasping consent principles.; cluster_11_lt_01 [pedagogical_sequencing/high] General relationship foundations including consent concepts typically precede specific sexual consent principles.; cluster_12_lt_01 [pedagogical_sequencing/medium] Practical consent communication skills often develop alongside theoretical understanding.,
cluster_13: Sexual and Reproductive Health,cluster_13_lt_02,Applying Sexual Health Information Skills,Type 2,stable,PASS,,pass,The descriptor declares the capability as fully demonstrated with 'independently evaluates' and 'effectively counters' without any hedging language or positioning as incomplete.,False,No attempt to evaluate sexual health information.,"With support, identifies some accurate information but struggles to counter misinformation effectively.",Independently evaluates basic sexual health information but inconsistently identifies or addresses misinformation.,Independently evaluates medically accurate sexual health information and effectively counters misinformation with appropriate signposting.,Transfers evaluation skills to complex contexts and proactively educates others about misinformation.,cluster_13_lt_01 [ontological_prerequisite/high] Cannot evaluate sexual health information without understanding the foundational knowledge being evaluated.; cluster_08_lt_02 [pedagogical_sequencing/medium] Critical evaluation of online content provides transferable skills for evaluating health information.,
cluster_14: Mental Health and Emotional Wellbeing,cluster_14_lt_01,Understanding Emotions and Mental Health,Type 1,rubric_unstable,PASS,,pass,The descriptor declares the capability as demonstrated independently and can stand alone as evidence that the learning target is met.,False,No attempt to identify emotions or mental health concepts.,"With support, names basic emotions but shows limited understanding of mental health concepts.",Independently identifies common emotions and describes some mental health concepts but explanations lack detail.,"Independently identifies range of emotions, explains mental health concepts clearly, and describes factors supporting or harming wellbeing.",Connects emotions to mental health concepts and analyses complex wellbeing factors across different contexts.,,
cluster_14: Mental Health and Emotional Wellbeing,cluster_14_lt_02,Recognising and Responding to Mental Health Needs,Type 2,rubric_unstable,FAIL,single_construct,pass,The descriptor declares the capability as fully demonstrated with 'independently' performing all required actions without hedging language or positioning it as incomplete.,False,No attempt to assess emotional responses or mental health needs.,"With support, identifies basic emotions but struggles to judge when help is needed.",Recognises obvious emotional distress and communicates about mental health with some prompting or guidance.,"Independently assesses emotional responses, judges when support is needed, and communicates appropriately about mental health concerns.",Applies mental health assessment skills to complex situations and supports others in seeking help.,cluster_14_lt_01 [ontological_prerequisite/high] Cannot assess emotional responses without understanding emotions and mental health concepts.; cluster_09_lt_02 [pedagogical_sequencing/medium] Help-seeking skills are typically established before applying them to mental health contexts.,
cluster_15: Digital Wellbeing and Online Behaviour,cluster_15_lt_01,Understanding Digital Risks and Impacts,Type 1,stable,PASS,,pass,The descriptor declares the capability as demonstrated independently and can stand alone as evidence that the learner has met the learning target.,False,No attempt to identify online risks or benefits.,"With support, names some online risks or benefits but explanations are incomplete.",Independently identifies basic online risks and benefits but struggles to explain wellbeing impacts.,Independently identifies various online risks and benefits and explains their specific impacts on personal wellbeing.,Analyses complex digital scenarios and evaluates nuanced impacts on different aspects of wellbeing.,cluster_14_lt_01 [ontological_prerequisite/high] Understanding wellbeing concepts is essential to explain impacts on wellbeing.,
cluster_15: Digital Wellbeing and Online Behaviour,cluster_15_lt_02,Making Responsible Digital Decisions,Type 2,stable,PASS,,pass,The descriptor declares the capability as fully demonstrated with 'independently evaluates' and 'make informed decisions' without any hedging language or positioning it as incomplete.,False,No attempt to evaluate online content or relationships.,"With support, identifies some online risks but makes decisions without clear evaluation.",Independently recognises basic online risks and benefits but evaluation lacks depth or consistency.,Independently evaluates online content and relationships using clear criteria to make informed decisions about digital engagement.,Transfers evaluation skills to novel digital contexts and helps others make informed decisions.,cluster_15_lt_01 [ontological_prerequisite/high] Cannot evaluate digital decisions without understanding digital risks and impacts.; cluster_08_lt_01 [pedagogical_sequencing/medium] Understanding basic digital safety principles typically precedes making complex digital decisions.,
cluster_16: Physical Health and Lifestyle,cluster_16_lt_01,Understanding Health Knowledge and Risks,Type 1,rubric_unstable,PASS,,pass,"The descriptor declares the capability as demonstrated independently and accurately, standing alone as evidence that the learning target is met.",False,No attempt to identify health facts.,"With support, names some health facts but demonstrates inaccurate understanding.",Independently identifies basic health facts but shows gaps in nutrition or hygiene knowledge.,"Independently identifies key facts about nutrition, physical activity, substance use, hygiene, and health maintenance practices accurately.",Connects health facts across domains and explains relationships between different health practices.,cluster_01_lt_01 [pedagogical_sequencing/medium] Body awareness typically precedes understanding health maintenance practices.,
cluster_17: Healthcare Access and Medical Decision-Making,cluster_17_lt_01,Navigating Healthcare Services,Type 1,stable,PASS,,pass,The descriptor declares the capability as fully demonstrated with 'independently identifies' and 'clearly explains' without any hedging language or positioning as incomplete.,False,No attempt to identify healthcare services or access methods.,"With support, names some healthcare services but provides incomplete or inaccurate access information.",Independently identifies basic healthcare services and explains simple access methods but lacks detail for complex needs.,Independently identifies appropriate healthcare services for different needs and clearly explains how to access them effectively.,Evaluates healthcare service options and explains access strategies for complex or specialised healthcare needs.,cluster_16_lt_02 [pedagogical_sequencing/high] Understanding when to seek health support precedes knowing how to navigate specific healthcare services.,
cluster_17: Healthcare Access and Medical Decision-Making,cluster_17_lt_02,Understanding Medical Consent Capacity,Type 1,rubric_unstable,PASS,,pass,"The descriptor declares the capability as demonstrated accurately and independently, standing alone as evidence that the learning target is met.",False,No attempt to explain medical consent frameworks.,"With support, identifies some basic consent concepts but explanations are incomplete or inaccurate.",Explains basic medical consent principles but gaps remain in understanding age-related capacity requirements.,Explains the legal framework for medical consent including age-related capacity and competency requirements accurately and independently.,Applies consent framework knowledge to analyse complex scenarios involving capacity assessment and legal considerations.,cluster_12_lt_02 [ontological_prerequisite/high] Understanding general consent principles is essential before learning specific medical consent frameworks.; cluster_04_lt_02 [pedagogical_sequencing/medium] Understanding personal rights and legal protections provides foundation for medical consent legal frameworks.,
cluster_18: Personal Safety and Risk Management,cluster_18_lt_01,Identifying Safety Hazards and Risks,Type 2,stable,PASS,,pass,The descriptor declares the capability as fully demonstrated with 'independently identifies' and 'accurately assesses' without any hedging language or implications of incompleteness.,False,No attempt to identify hazards or assess risks.,"With support, identifies obvious hazards but struggles to assess actual risk levels.",Independently identifies common hazards but assessment of risk levels lacks depth or accuracy.,Independently identifies potential hazards across different environments and accurately assesses their associated safety risks.,Systematically evaluates complex risk scenarios and prioritises multiple hazards by severity and likelihood.,cluster_04_lt_01 [pedagogical_sequencing/medium] Understanding unsafe situations provides foundation for broader hazard identification skills.,
cluster_18: Personal Safety and Risk Management,cluster_18_lt_02,Managing Personal Safety and Seeking Help,Type 2,stable,PASS,,pass,The descriptor clearly states the learner independently demonstrates all required capabilities without hedging language or positioning it as incomplete.,False,No attempt to implement safety strategies or seek help.,"With support, identifies some safety strategies but struggles to apply them effectively.",Independently applies basic safety strategies but inconsistently manages peer influence or help-seeking.,"Independently implements appropriate safety strategies, manages peer influence effectively, and seeks help when facing safety concerns.",Transfers safety management skills to novel situations and supports others in developing safety strategies.,cluster_18_lt_01 [ontological_prerequisite/high] Cannot implement safety strategies without first identifying hazards and risks.; cluster_04_lt_01 [pedagogical_sequencing/high] Recognising unsafe situations typically precedes learning to manage them.; cluster_09_lt_02 [pedagogical_sequencing/medium] Basic help-seeking skills provide foundation for broader safety management.; cluster_01_lt_02 [pedagogical_sequencing/medium] Expressing boundaries supports managing peer influence in safety contexts.,
cluster_19: Puberty and Physical Development,cluster_19_lt_01,Understanding Physical Development During Puberty,Type 1,stable,PASS,,pass,"The descriptor declares the capability as demonstrated independently and comprehensively, standing alone as clear evidence that the learning target is met.",False,No attempt to explain physical changes during puberty.,"With support, identifies some physical changes but explanations are incomplete or inaccurate.",Independently identifies physical changes during puberty but explanations lack detail or contain minor gaps.,Independently explains the physical changes that occur during puberty and adolescence accurately and comprehensively.,"Explains puberty changes and connects them to individual variation, timing differences, or broader development.",cluster_01_lt_01 [ontological_prerequisite/high] Must know body parts and anatomy before understanding how they change during puberty.,
cluster_19: Puberty and Physical Development,cluster_19_lt_02,Protecting Health and Wellbeing,Type 2,stable,PASS,,pass,The descriptor declares the capability as fully demonstrated with 'independently identifies' and 'applies appropriate strategies...effectively' without any hedging language or positioning as incomplete.,False,No attempt to identify health issues or strategies.,"With support, recognises some obvious health concerns but applies strategies inaccurately.",Independently identifies clear health issues and applies basic strategies but misses subtle concerns.,Independently identifies when health issues require attention and applies appropriate strategies to protect wellbeing effectively.,Transfers health identification skills to complex situations and integrates multiple protective strategies.,cluster_16_lt_01 [ontological_prerequisite/high] Cannot identify when health issues require attention without understanding basic health knowledge.; cluster_16_lt_02 [pedagogical_sequencing/medium] Understanding how to seek health support typically precedes applying broader wellbeing strategies.,
cluster_04: Abuse Recognition and Protection,cluster_04_lt_02,Understanding Rights and Support Systems,Type 1,rubric_unreliable,FAIL,rubric_generation_failed,error,"no structural signature reached 2/3 agreement; signatures=[(('no_evidence', 'within_limit', 'recognise'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'describe'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'apply'), ('competent_scope', 'unscoped')), (('no_evidence', 'within_limit', 'recognise'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'describe'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'analyse'), ('competent_scope', 'unscoped')), (('no_evidence', 'within_limit', 'recognise'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'describe'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'apply'), ('competent_scope', 'scoped'))]",False,,,,,,,
cluster_05: Friendship Development and Management,cluster_05_lt_01,Understanding Healthy Friendship Characteristics,Type 1,rubric_unreliable,FAIL,rubric_generation_failed,error,"no structural signature reached 2/3 agreement; signatures=[(('no_evidence', 'within_limit', 'recognise'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'recognise'), ('extending', 'within_limit', 'apply'), ('competent_scope', 'unscoped')), (('no_evidence', 'within_limit', 'recognise'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'recognise'), ('extending', 'within_limit', 'analyse'), ('competent_scope', 'scoped')), (('no_evidence', 'within_limit', 'recognise'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'recognise'), ('extending', 'within_limit', 'apply'), ('competent_scope', 'scoped'))]",False,,,,,,,
cluster_11: Healthy Romantic Relationships,cluster_11_lt_01,Understanding Healthy Relationship Foundations,Type 1,rubric_unreliable,FAIL,rubric_generation_failed,error,"no structural signature reached 2/3 agreement; signatures=[(('no_evidence', 'within_limit', 'recognise'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'analyse'), ('competent_scope', 'unscoped')), (('no_evidence', 'within_limit', 'recognise'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'apply'), ('competent_scope', 'unscoped')), (('no_evidence', 'within_limit', 'recognise'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'describe'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'apply'), ('competent_scope', 'unscoped'))]",False,,,,,,,
cluster_13: Sexual and Reproductive Health,cluster_13_lt_01,Understanding Sexual Health Knowledge,Type 1,rubric_unreliable,FAIL,rubric_generation_failed,error,"no structural signature reached 2/3 agreement; signatures=[(('no_evidence', 'within_limit', 'recognise'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'describe'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'analyse'), ('competent_scope', 'scoped')), (('no_evidence', 'within_limit', 'recognise'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'describe'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'describe'), ('competent_scope', 'scoped')), (('no_evidence', 'within_limit', 'recognise'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'describe'), ('competent', 'within_limit', 'describe'), ('extending', 'within_limit', 'apply'), ('competent_scope', 'scoped'))]",False,,,,,,,
cluster_16: Physical Health and Lifestyle,cluster_16_lt_02,Seeking Health Support,Type 2,rubric_unreliable,FAIL,rubric_generation_failed,error,"no structural signature reached 2/3 agreement; signatures=[(('no_evidence', 'within_limit', 'recognise'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'apply'), ('competent', 'within_limit', 'evaluate'), ('extending', 'within_limit', 'evaluate'), ('competent_scope', 'unscoped')), (('no_evidence', 'within_limit', 'recognise'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'evaluate'), ('extending', 'within_limit', 'apply'), ('competent_scope', 'unscoped')), (('no_evidence', 'within_limit', 'recognise'), ('emerging', 'within_limit', 'recognise'), ('developing', 'within_limit', 'recognise'), ('competent', 'within_limit', 'evaluate'), ('extending', 'within_limit', 'evaluate'), ('competent_scope', 'unscoped'))]",False,,,,,,,
